Q1	massage oil buy good oil massage
Q66_C5	car transfer right need driving license buy car need buy car driving license invalid visa cancel renew obtain
Q67	visa marriage cert fellow filipino please advice ask wife say take time us get authenticate marriage certificate original marriage certificate local civil registrar use get visit visa option
Q67_C1	things difficult dare dare make things difficult
Q67_C2	wife family visit visa thanks reply ask wife check one question still using maiden name passport need change use thanks much help
Q67_C3	visa wife thank much reply actually wife already go center city today get authenticate certificate soon get married last month vacation getting authentication need go red correct regard passport need change surname surname use thanks advance god bless
Q67_C4	time better change passport think fine housemate situation u difference get married qatar yeah right authentication need send qatar embassy authentication want post group fellow filipino help u doll b
Q67_C5	hello post follow link doll b
Q67_C6	thanks thanks please kindly post request group reject enough point thanks
Q68	ration check limit yesterday open pub amount
Q68_C1	f listen
Q69	wedding god bless
Q69_C1	oh dear oh dear
Q70	perfume best perfume men woman
Q70_C1	perfume best ever
Q70_C2	perfume one best necessarily best question give right answer design best
Q70_C3	perfume dior versace
Q70_C4	perfume euphoria woman calvin essential men sexy love
Q70_C5	perfume try hugo energize
Q70_C6	perfume million pour nina gold edition blue
Q70_C7	perfume perfume personal matter depend personality look mood especially one na smell perfume wear party may inappropriate work careful well people may allergy go feeling
Q70_C8	perfume love love polo black neo
Q70_C9	perfume try give someone gift ask one friend perfume come different smell different people perfume nice hot weather cold
Q70_C10	perfume want perfume z low cost say double horse france club n u want moderate one ni say versace design night atar hugo boss
Q70_C11	perfume differ taste person person
Q70_C12	perfume men curve crush woman calvin klein blue lady
Q71	handbag serious question lady arguing hubby like opinion matter handbag go brand name look practicality brand names actually offer value
Q71_C1	go look practicality border
Q72	passport renewal give idea long take renew passport philippine embassy much cost
Q72_C1	rule say need valid passport six month safe extend come back renew might
Q72_C2	passport renewal pi extend embassy idea much cost thanks
Q72_C3	passport extension cost passport extension cost think
Q72_C4	go links group know details even member browse
Q72_C5	days days
Q72_C6	try calling embassy try calling embassy ask details
Q72_C7	hear take hear take month renewal
Q72_C8	wish month actually say maximum days lately like happen wife friend almost two month
Q72_C9	angel two month angel two month passport renewal
Q72_C10	ko ko ba ng passport sa philippine embassy sa ano ang requirement na need ko passport renewal
Q72_C11	angel main forum need post english almost reply rule check link given get old passport original photocopy keep original verification payment course need renewal form
Q73	best gift woman christmas christmas around corner think gift want gift sister girl girlfriend wife best option like jewelry dress gift cards ring diamond make kit
Q73_C1	best gift woman christmas give cash much like way
Q73_C2	best gift woman christmas gold always works chocolate
Q73_C3	best gift woman christmas
Q73_C4	best gift woman christmas better specific na present gift woman different age different taste
Q73_C5	best gift woman christmas think chocolate money common gift think jewelry pendant necklace ring may best gift woman think jewelry beautiful things woman definitely love height width found gift hera section
Q73_C6	best gift woman christmas many gift offer awesome skincare brand like christmas get one present mother option woman likely appreciate
Q74	know shop me locate opposite garden restaurant relocation building try know new tell someone know
Q74_C1	know shop google map pointer new location basically going airport signal building up parcel company
Q74_C2	know shop behind me school near baby care planning shift new showroom old airport road shortly
Q74_C3	know shop dear shortly move new premises locate airport road near unite parcel services up regard
Q75	travel qatar australia help every con travel qatar australia
Q75_C1	travel qatar australia get touch travel agency work itinerary
